apply_no,lhpdat
key1,0.10799378
key2,0.11265276
key3,0.11265276
key4,0.11265276
key5,0.10799378
key6,0.10799378
key7,0.11265276
key8,0.10799378
key9,0.11265276
key10,0.10799378
key11,0.11265276
key12,0.11265276
key13,0.10799378
key14,0.11265276
key15,0.11265276
key16,0.10799378
key17,0.11265276
key18,0.11265276
key19,0.10799378
key20,0.10799378
key21,0.10799378
key22,0.11265276
key23,0.11265276
key24,0.11265276
key25,0.11265276
key26,0.11265276
key27,0.10799378
key28,0.10799378
key29,0.10799378
key30,0.11265276
key31,0.11265276
key32,0.11265276
key33,0.10799378
key34,0.10799378
key35,0.11265276
key36,0.10799378
key37,0.11265276
key38,0.11265276
key39,0.10799378
key40,0.10799378
key41,0.11265276
key42,0.11265276
key43,0.11265276
key44,0.10799378
key45,0.10799378
key46,0.11265276
key47,0.11265276
key48,0.10799378
key49,0.11265276
key50,0.10799378
key51,0.10799378
key52,0.10799378
key53,0.10799378
key54,0.10799378
key55,0.10799378
key56,0.11265276
key57,0.10799378
key58,0.11265276
key59,0.10799378
key60,0.10799378
key61,0.10799378
key62,0.10799378
key63,0.11265276
key64,0.11265276
key65,0.10799378
key66,0.10799378
key67,0.10799378
key68,0.11265276
key69,0.11265276
key70,0.11265276
key71,0.11265276
key72,0.10799378
key73,0.11265276
key74,0.11265276
key75,0.11265276
key76,0.10799378
key77,0.10799378
key78,0.10799378
key79,0.11265276
key80,0.10799378
key81,0.11265276
key82,0.10799378
key83,0.11265276
key84,0.10799378
key85,0.11265276
key86,0.10799378
key87,0.10799378
key88,0.11265276
key89,0.10799378
key90,0.10799378
key91,0.11265276
key92,0.11265276
key93,0.10799378
key94,0.10799378
key95,0.11265276
key96,0.10799378
key97,0.11265276
key98,0.11265276
key99,0.11265276
key100,0.11265276
key101,0.10799378
key102,0.10799378
key103,0.10799378
key104,0.10799378
key105,0.10799378
key106,0.11265276
key107,0.10799378
key108,0.11265276
key109,0.11265276
key110,0.10799378
key111,0.10799378
key112,0.10799378
key113,0.10799378
key114,0.11265276
key115,0.11265276
key116,0.10799378
key117,0.11265276
key118,0.11265276
key119,0.11265276
key120,0.10799378
key121,0.10799378
key122,0.10799378
key123,0.11265276
key124,0.11265276
key125,0.10799378
key126,0.11265276
key127,0.10799378
key128,0.11265276
key129,0.10799378
key130,0.10799378
key131,0.11265276
key132,0.10799378
key133,0.10799378
key134,0.10799378
key135,0.11265276
key136,0.11265276
key137,0.10799378
key138,0.10799378
key139,0.10799378
key140,0.11265276
key141,0.11265276
key142,0.11265276
key143,0.10799378
key144,0.11265276
key145,0.10799378
key146,0.10799378
key147,0.11265276
key148,0.10799378
key149,0.11265276
key150,0.10799378
key151,0.10799378
key152,0.11265276
key153,0.10799378
key154,0.11265276
key155,0.10799378
key156,0.10799378
key157,0.11265276
key158,0.11265276
key159,0.10799378
key160,0.11265276
key161,0.11265276
key162,0.10799378
key163,0.11265276
key164,0.10799378
key165,0.10799378
key166,0.11265276
key167,0.11265276
key168,0.11265276
key169,0.10799378
key170,0.11265276
key171,0.11265276
key172,0.11265276
key173,0.10799378
key174,0.10799378
key175,0.11265276
key176,0.11265276
key177,0.10799378
key178,0.10799378
key179,0.10799378
key180,0.10799378
key181,0.10799378
key182,0.10799378
key183,0.11265276
key184,0.10799378
key185,0.11265276
key186,0.11265276
key187,0.11265276
key188,0.11265276
key189,0.11265276
key190,0.11265276
key191,0.11265276
key192,0.11265276
key193,0.11265276
key194,0.11265276
key195,0.11265276
key196,0.11265276
key197,0.11265276
key198,0.11265276
key199,0.10799378
key200,0.11265276
key201,0.10799378
key202,0.10799378
key203,0.11265276
key204,0.11265276
key205,0.10799378
key206,0.11265276
key207,0.11265276
key208,0.11265276
key209,0.10799378
key210,0.10799378
key211,0.11265276
key212,0.11265276
key213,0.11265276
key214,0.10799378
key215,0.11265276
key216,0.10799378
key217,0.11265276
key218,0.10799378
key219,0.11265276
key220,0.11265276
key221,0.10799378
key222,0.11265276
key223,0.10799378
key224,0.11265276
key225,0.11265276
key226,0.11265276
key227,0.11265276
key228,0.11265276
key229,0.11265276
key230,0.11265276
key231,0.11265276
key232,0.11265276
key233,0.10799378
key234,0.10799378
key235,0.11265276
key236,0.10799378
key237,0.10799378
key238,0.10799378
key239,0.10799378
key240,0.10799378
key241,0.10799378
key242,0.10799378
