,index,mean_imp
0,sd_loaninfo_mobile_all_openloancount,4.125
1,sd_loaninfo_mobile_all_remainingoverdueamount,1.0
2,sd_loaninfo_mobile_d360_averageloangapdays,26.25
3,sd_loaninfo_mobile_d360_averagetenantgapdays,24.125
4,sd_loaninfo_mobile_d360_querycount,17.5
5,sd_loaninfo_mobile_d90_averageloangapdays,10.25
6,sd_loaninfo_mobile_d90_averagetenantgapdays,6.875
7,sd_loaninfo_mobile_d90_querycount,5.25
8,sd_loaninfo_pid_all_loancount,1.0
9,sd_loaninfo_pid_all_openloancount,4.625
10,sd_loaninfo_pid_d360_averageloangapdays,23.25
11,sd_loaninfo_pid_d360_averagetenantgapdays,24.25
12,sd_loaninfo_pid_d360_daysfromlastloan,1.0
13,sd_loaninfo_pid_d360_querycount,14.5
14,sd_loaninfo_pid_d90_averageloangapdays,12.875
15,sd_loaninfo_pid_d90_averagetenantgapdays,10.5
16,sd_loaninfo_pid_d90_querycount,5.5
17,td_final_score,32.5
18,td_gray_num,1.6
19,td_gray_score,2.625
20,td_high_risk_num,1.0
21,td_idcard_conn_add_d90,1.0
22,td_idcard_conn_lend_d90,2.2857142857142856
23,td_idcard_conn_mobile_d90,2.0
24,td_idcard_lend_muti_platform_d90,1.6
25,td_idcard_lend_p2p_num_d90,1.0
26,td_idcard_loan_bank_finance_num_d30,1.0
27,td_idcard_loan_bank_finance_num_d7,1.0
28,td_idcard_loan_bank_finance_num_d90,2.0
29,td_idcard_loan_bank_person_num_d90,1.0
30,td_idcard_loan_bank_person_small_num_d30,1.0
31,td_idcard_loan_bank_person_small_num_d90,1.5
32,td_idcard_loan_big_consume_finance_num_d30,2.4
33,td_idcard_loan_big_consume_finance_num_d7,2.0
34,td_idcard_loan_big_consume_finance_num_d90,4.0
35,td_idcard_loan_big_data_finance_num_d7,1.0
36,td_idcard_loan_big_data_finance_num_d90,1.0
37,td_idcard_loan_compre_electricity_num_d30,1.5
38,td_idcard_loan_compre_electricity_num_d7,2.5
39,td_idcard_loan_consume_stage_num_d30,5.285714285714286
40,td_idcard_loan_consume_stage_num_d7,1.5714285714285714
41,td_idcard_loan_consume_stage_num_d90,4.375
42,td_idcard_loan_credit_card_num_d30,2.75
43,td_idcard_loan_credit_card_num_d90,5.0
44,td_idcard_loan_direct_bank_num_d90,2.0
45,td_idcard_loan_inter_finance_num_d30,2.0
46,td_idcard_loan_inter_finance_num_d7,1.6666666666666667
47,td_idcard_loan_inter_finance_num_d90,2.0
48,td_idcard_loan_muti_platform_d30_num,2.5714285714285716
49,td_idcard_loan_muti_platform_d30_plat_num,6.0
50,td_idcard_loan_muti_platform_d7_num,4.875
51,td_idcard_loan_muti_platform_d7_plat_num,2.75
52,td_idcard_loan_muti_platform_d90_num,6.25
53,td_idcard_loan_muti_platform_d90_plat_num,2.5714285714285716
54,td_idcard_loan_online_bank_num_d30,1.3333333333333333
55,td_idcard_loan_online_bank_num_d90,1.6666666666666667
56,td_idcard_loan_p2p_num_d30,2.2857142857142856
57,td_idcard_loan_p2p_num_d7,1.75
58,td_idcard_loan_p2p_num_d90,4.125
59,td_idcard_loan_property_insurance_num_d30,1.25
60,td_idcard_loan_property_insurance_num_d90,2.5714285714285716
61,td_idcard_loan_small_amount_num_d30,2.142857142857143
62,td_idcard_loan_small_amount_num_d7,1.875
63,td_idcard_loan_small_amount_num_d90,3.8
64,td_idcard_low_risk,1.8333333333333333
65,td_idcard_medium_risk,1.5
66,td_lend_consume_stage_num_d90,1.2
67,td_lend_level1_nonbank_finance_d90,1.4
68,td_lend_muti_platform_d90_num,1.5
69,td_lend_muti_platform_d90_plat_num,1.3333333333333333
70,td_loan_bank_finance_num_d30,1.4
71,td_loan_bank_finance_num_d7,1.5
72,td_loan_bank_finance_num_d90,3.5
73,td_loan_bank_person_num_d90,2.0
74,td_loan_bank_person_small_num_d30,1.6666666666666667
75,td_loan_bank_person_small_num_d90,1.25
76,td_loan_big_consume_finance_num_d30,1.0
77,td_loan_big_consume_finance_num_d7,1.0
78,td_loan_big_consume_finance_num_d90,6.25
79,td_loan_big_data_finance_num_d30,1.0
80,td_loan_big_data_finance_num_d7,1.0
81,td_loan_big_data_finance_num_d90,1.0
82,td_loan_compre_electricity_num_d7,1.0
83,td_loan_compre_electricity_num_d90,1.8
84,td_loan_consume_stage_num_d30,2.142857142857143
85,td_loan_consume_stage_num_d7,4.75
86,td_loan_consume_stage_num_d90,1.5
87,td_loan_credit_card_num_d30,2.5
88,td_loan_credit_card_num_d90,4.125
89,td_loan_direct_bank_num_d90,1.0
90,td_loan_inter_finance_num_d30,1.3333333333333333
91,td_loan_inter_finance_num_d90,2.0
92,td_loan_level1_bank_d30,7.75
93,td_loan_level1_bank_d7,2.1666666666666665
94,td_loan_level1_bank_d90,8.0
95,td_loan_level1_electricity_d30,1.5
96,td_loan_level1_electricity_d90,2.875
97,td_loan_level1_insurance_d30,1.0
98,td_loan_level1_insurance_d90,1.0
99,td_loan_level1_nonbank_finance_d30,7.25
100,td_loan_level1_nonbank_finance_d7,6.625
101,td_loan_level1_nonbank_finance_d90,9.0
102,td_loan_level1_online_finance_d30,1.0
103,td_loan_level1_online_finance_d7,1.0
104,td_loan_level1_online_finance_d90,1.0
105,td_loan_muti_platform_d30_num,4.0
106,td_loan_muti_platform_d30_plat_num,6.75
107,td_loan_muti_platform_d7_num,2.75
108,td_loan_muti_platform_d7_plat_num,1.4285714285714286
109,td_loan_muti_platform_d90_num,2.2857142857142856
110,td_loan_muti_platform_d90_plat_num,8.0
111,td_loan_online_bank_num_d30,2.0
112,td_loan_online_bank_num_d90,3.125
113,td_loan_p2p_num_d30,5.125
114,td_loan_p2p_num_d7,4.875
115,td_loan_p2p_num_d90,7.25
116,td_loan_property_insurance_num_d90,1.25
117,td_loan_small_amount_num_d30,3.875
118,td_loan_small_amount_num_d7,1.6666666666666667
119,td_loan_small_amount_num_d90,3.25
120,td_low_risk_num,2.875
121,td_medium_risk_num,2.75
122,td_mobile_lend_consume_stage_num_d90,1.75
123,td_mobile_lend_muti_platform_d90,1.0
124,td_mobile_lend_muti_platform_d90_num,1.0
125,td_mobile_loan_bank_finance_num_d30,1.5
126,td_mobile_loan_bank_finance_num_d7,1.0
127,td_mobile_loan_bank_finance_num_d90,4.375
128,td_mobile_loan_bank_person_num_d30,1.0
129,td_mobile_loan_bank_person_num_d7,1.0
130,td_mobile_loan_bank_person_num_d90,1.2
131,td_mobile_loan_bank_person_small_num_d30,1.0
132,td_mobile_loan_bank_person_small_num_d90,1.5
133,td_mobile_loan_big_consume_finance_num_d30,1.6666666666666667
134,td_mobile_loan_big_consume_finance_num_d7,1.0
135,td_mobile_loan_big_consume_finance_num_d90,2.375
136,td_mobile_loan_big_data_finance_num_d90,1.3333333333333333
137,td_mobile_loan_compre_electricity_num_d30,1.5
138,td_mobile_loan_compre_electricity_num_d7,1.0
139,td_mobile_loan_compre_electricity_num_d90,1.875
140,td_mobile_loan_consume_stage_num_d30,3.0
141,td_mobile_loan_consume_stage_num_d7,5.0
142,td_mobile_loan_consume_stage_num_d90,5.5
143,td_mobile_loan_credit_card_num_d30,2.875
144,td_mobile_loan_credit_card_num_d7,1.0
145,td_mobile_loan_credit_card_num_d90,4.0
146,td_mobile_loan_inter_finance_num_d30,1.6666666666666667
147,td_mobile_loan_inter_finance_num_d7,1.5
148,td_mobile_loan_inter_finance_num_d90,1.5
149,td_mobile_loan_muti_platform_d30_num,6.0
150,td_mobile_loan_muti_platform_d30_plat_num,4.8
151,td_mobile_loan_muti_platform_d7_num,4.0
152,td_mobile_loan_muti_platform_d7_plat_num,6.875
153,td_mobile_loan_muti_platform_d90_num,2.8333333333333335
154,td_mobile_loan_muti_platform_d90_plat_num,10.875
155,td_mobile_loan_online_bank_num_d30,1.0
156,td_mobile_loan_online_bank_num_d90,2.0
157,td_mobile_loan_p2p_num_d30,5.625
158,td_mobile_loan_p2p_num_d7,5.5
159,td_mobile_loan_p2p_num_d90,7.125
160,td_mobile_loan_property_insurance_num_d30,1.0
161,td_mobile_loan_property_insurance_num_d90,1.25
162,td_mobile_loan_small_amount_num_d30,3.5
163,td_mobile_loan_small_amount_num_d7,2.4285714285714284
164,td_mobile_loan_small_amount_num_d90,3.4285714285714284
165,td_mobile_low_risk,2.0
166,td_mobile_medium_risk,1.0
167,td_mobile_num_over2_d90,1.5
168,td_time_between_1_and_5,1.0
169,ten_fraud_abnormal_pay,5.875
170,ten_fraud_risk_score,43.25
171,tzre_es_m12_apply_reject_sum,1.375
172,tzre_es_m12_apply_request_sum,9.25
173,tzre_es_m12_loan_offer_sum,6.875
174,tzre_es_m12_overdue_repay_sum,1.5714285714285714
175,tzre_es_m12_overdue_sum,2.5
176,tzre_es_m12_register_sum,4.0
177,tzre_es_m12_repay_fail_sum,2.875
178,tzre_es_m12_repay_remind_sum,18.125
179,tzre_es_m12_verif_sum,16.875
180,tzre_es_m1_apply_reject_sum,1.0
181,tzre_es_m1_apply_request_sum,1.0
182,tzre_es_m1_loan_offer_sum,1.2
183,tzre_es_m1_overdue_repay_sum,1.0
184,tzre_es_m1_overdue_sum,1.25
185,tzre_es_m1_register_sum,1.0
186,tzre_es_m1_repay_fail_sum,1.0
187,tzre_es_m1_repay_remind_sum,4.75
188,tzre_es_m1_verif_sum,9.5
189,tzre_es_m24_apply_reject_sum,4.25
190,tzre_es_m24_apply_request_sum,10.125
191,tzre_es_m24_loan_offer_sum,6.125
192,tzre_es_m24_overdue_repay_sum,3.25
193,tzre_es_m24_overdue_sum,1.6
194,tzre_es_m24_register_sum,10.625
195,tzre_es_m24_repay_fail_sum,3.4285714285714284
196,tzre_es_m24_repay_remind_sum,20.625
197,tzre_es_m24_verif_sum,21.75
198,tzre_es_m3_apply_reject_sum,3.875
199,tzre_es_m3_apply_request_sum,3.4285714285714284
200,tzre_es_m3_loan_offer_sum,2.142857142857143
201,tzre_es_m3_overdue_repay_sum,1.0
202,tzre_es_m3_overdue_sum,1.6666666666666667
203,tzre_es_m3_register_sum,2.75
204,tzre_es_m3_repay_fail_sum,1.5
205,tzre_es_m3_repay_remind_sum,8.875
206,tzre_es_m3_verif_sum,19.625
207,tzre_es_m6_apply_reject_sum,4.25
208,tzre_es_m6_apply_request_sum,3.75
209,tzre_es_m6_loan_offer_sum,2.625
210,tzre_es_m6_overdue_repay_sum,1.2857142857142858
211,tzre_es_m6_overdue_sum,2.1666666666666665
212,tzre_es_m6_register_sum,2.6
213,tzre_es_m6_repay_fail_sum,2.7142857142857144
214,tzre_es_m6_repay_remind_sum,14.125
215,tzre_es_m6_verif_sum,17.375
216,tzre_pi_m12_apply_reject_count,2.6
217,tzre_pi_m12_apply_request_count,4.875
218,tzre_pi_m12_loan_offer_count,5.5
219,tzre_pi_m12_overdue_count,2.5
220,tzre_pi_m12_overdue_replay_count,1.6
221,tzre_pi_m12_register_count,7.5
222,tzre_pi_m12_repay_fail_count,1.5
223,tzre_pi_m12_repay_remind_count,7.75
224,tzre_pi_m12_verif_count,14.75
225,tzre_pi_m1_apply_reject_count,2.142857142857143
226,tzre_pi_m1_apply_request_count,1.8333333333333333
227,tzre_pi_m1_loan_offer_count,1.0
228,tzre_pi_m1_register_count,1.0
229,tzre_pi_m1_repay_fail_count,1.0
230,tzre_pi_m1_repay_remind_count,3.5
231,tzre_pi_m1_verif_count,8.5
232,tzre_pi_m24_apply_reject_count,3.5
